Date,Datetime,Close_Real_EYAC2,Volume_EYAC2,Close_Dolar_EYAC2,Price_Dolar_Petro,Volume_Petro,Change%_Petro,Índice_Ibovespa,Change%_Ibovespa,Value_IPCA
2022-12-08,2022-12-08 16:56:00,22.23705647,55567619.32,4.184459837793082,71.58,245.39,-0.97%,107249.04,-7.671559185212518,0.62%
2022-12-09,2022-12-09 16:56:00,26.40309399,61586272.62,4.978146609977752,71.21,146.59,-0.52%,107519.56,-5.335908784717458,0.62%
2022-12-12,2022-12-12 16:56:00,24.02734474,111293088.2,4.457846108462124,73.28,148.97,2.91%,105343.33,-7.110012605092031,0.62%
2022-12-13,2022-12-13 16:56:00,23.79911697,102533145.5,4.38120008284089,75.44,190.74,2.95%,103539.67,-9.41418331341646,0.62%
2022-12-14,2022-12-14 16:56:00,23.45178933,319501475.3,4.372071090604027,77.31,185.52,2.48%,103745.77,-8.320434339378268,0.62%
2022-12-15,2022-12-15 16:56:00,23.70483743,132385535.6,4.465365149003504,76.15,188.5,-1.50%,103737.69,-5.653254803273922,0.62%
2022-12-16,2022-12-16 16:56:00,22.34891424,90767289.29,4.179163797520429,74.46,271.86,-2.22%,102855.7,-6.701203601161176,0.62%
2022-12-19,2022-12-19 16:56:00,20.64273953,63074012.21,3.8142534238728754,75.38,257.46,1.24%,104739.75,-9.920073440170418,0.62%
2022-12-20,2022-12-20 16:56:00,22.27513987,71875654.82,4.125637107349236,76.23,254.79,1.13%,106864.11,-8.79653696205489,0.62%
2022-12-21,2022-12-21 16:56:00,24.76889929,74252662.66,4.539088713165225,78.24,65.19,2.64%,107433.14,-2.1094108348767127,0.62%
2022-12-22,2022-12-22 16:56:00,24.68966549,81894983.07,4.570975208279335,77.42,62.7,-1.05%,107551.52,-1.3619471050713703,0.62%
2022-12-23,2022-12-23 16:56:00,26.60067223,68388026.24,4.9558774531904985,79.64,79.46,2.87%,109697.57,0.7868531341317153,0.62%
2022-12-26,2022-12-26 16:56:00,23.64225337,28765122.88,4.385992388319976,80.97,68.1325,1.67%,108737.75,-3.570330511239461,0.62%
2022-12-27,2022-12-27 16:56:00,24.18562826,50803167.44,4.455059729590333,79.64,67.69,-1.64%,108578.2,-5.2883110684192935,0.62%
2022-12-28,2022-12-28 16:56:00,23.88423347,57293563.95,4.362417072146119,79.08,62.68,-0.70%,110236.71,1.3371311377831765,0.62%
2022-12-29,2022-12-29 16:56:00,25.38738479,57901668.51,4.656356111294523,78.5,53.32,-0.73%,109734.6,-1.0594302874205377,0.62%
2023-01-02,2023-01-02 16:56:00,22.5532972,78424907.1,4.165428708628842,80.47,103.935,0.02%,106376.02,-17.013617281472527,0.53%
2023-01-03,2023-01-03 16:56:00,20.32336551,96750009.46,3.7911068329353834,77.12,139.84,-4.16%,104165.74,-9.465858880556963,0.53%
2023-01-04,2023-01-04 16:56:00,22.94340483,129503700.6,4.322908548441798,73.1,149.77,-5.21%,105334.46,-10.854361252799904,0.53%
2023-01-05,2023-01-05 16:56:00,21.55957628,73886016.47,4.134226213350209,73.92,112.45,1.12%,107641.32,-15.11123690574946,0.53%
2023-01-06,2023-01-06 16:56:00,21.0479965,51851401.45,4.056741288258423,74.04,95.22,0.16%,108963.7,-14.136399185994051,0.53%
2023-01-09,2023-01-09 16:56:00,23.41554598,46385238.33,4.5373689067162735,74.92,154.2,1.19%,109129.57,-14.134468014392866,0.53%
2023-01-10,2023-01-10 16:56:00,21.7834274,52741301.22,4.162783045729902,75.37,164.98,0.60%,110816.71,-6.903422833146856,0.53%
2023-01-11,2023-01-11 16:56:00,23.022381,53536739.63,4.356503992733603,77.68,179.83,3.06%,112517.08,-6.677601562071045,0.53%
